"d","name","avg_kincaid","kincaid"
"1","2012-01-01"," ANALISTA LEGISLATIVO",4588,123.89462069
"2","2012-01-01"," CARGO EM COMISSAO",27,0.13996098
"3","2012-01-01"," DEPUTADO",748,22.03194775
"4","2012-01-01"," TECNICO LEGISLATIVO",3816,76.45708965
"5","2013-01-01"," ANALISTA LEGISLATIVO",11307,316.99790974
"6","2013-01-01"," CARGO EM COMISSAO",70,0.40872643
"7","2013-01-01"," DEPUTADO",1739,52.4904465
"8","2013-01-01"," TECNICO LEGISLATIVO",8383,194.10940987
"9","2014-01-01"," ANALISTA LEGISLATIVO",12047,358.33242684
"10","2014-01-01"," CARGO EM COMISSAO",44,0.31203381
"11","2014-01-01"," DEPUTADO",1708,47.7768733
"12","2014-01-01"," TECNICO LEGISLATIVO",8477,210.61435241
"13","2015-01-01"," ANALISTA LEGISLATIVO",14126,466.64064704
"14","2015-01-01"," CARGO EM COMISSAO",33,0.15461441
"15","2015-01-01"," DEPUTADO",3839,136.21369157
"16","2015-01-01"," TECNICO LEGISLATIVO",9395,259.7539336
"17","2016-01-01"," ANALISTA LEGISLATIVO",14811,487.75379089
"18","2016-01-01"," CARGO EM COMISSAO",30,0.28034448
"19","2016-01-01"," DEPUTADO",4484,154.09333998
"20","2016-01-01"," TECNICO LEGISLATIVO",9551,264.12159985
"21","2017-01-01"," ANALISTA LEGISLATIVO",7835,278.76235312
"22","2017-01-01"," CARGO EM COMISSAO",10,0.11247999
"23","2017-01-01"," DEPUTADO",2946,101.73037856
"24","2017-01-01"," TECNICO LEGISLATIVO",4821,145.46431736
