"d","name","avg_kincaid","kincaid"
"1","2013-01-01","ADVOGADO",396,8.73258617
"2","2013-01-01","ANALISTA LEGISLATIVO",29781,662.64595788
"3","2013-01-01","AUXILIAR LEGISLATIVO",852,15.51823046
"4","2013-01-01","CARGO EM COMISSÃO",16427,100.91791467
"5","2013-01-01","CARGO ISOLADO",60,1.48991189
"6","2013-01-01","CONSULTOR LEGISLATIVO",3967,90.51315997
"7","2013-01-01","IPC ",4363,2.13738768
"8","2013-01-01","SECRETÁRIO PARLAMENTAR",84,1.53072339
"9","2013-01-01","TECNICO LEGISLATIVO",32726,643.14145554
"10","2014-01-01","ADVOGADO",396,9.17343126
"11","2014-01-01","ANALISTA LEGISLATIVO",30678,698.56168925
"12","2014-01-01","AUXILIAR LEGISLATIVO",852,16.1592185
"13","2014-01-01","CARGO EM COMISSÃO",18434,119.30959212
"14","2014-01-01","CARGO ISOLADO",60,1.54700766
"15","2014-01-01","CONSULTOR LEGISLATIVO",4559,106.61189083
"16","2014-01-01","IPC ",4368,2.48341326
"17","2014-01-01","SECRETÁRIO PARLAMENTAR",84,1.57636841
"18","2014-01-01","TECNICO LEGISLATIVO",33292,667.76828158
"19","2015-01-01","ADVOGADO",363,9.05329285
"20","2015-01-01","ANALISTA LEGISLATIVO",28825,718.94570512
"21","2015-01-01","AUXILIAR LEGISLATIVO",781,16.22789898
"22","2015-01-01","CARGO EM COMISSÃO",25387,171.81975836
"23","2015-01-01","CARGO ISOLADO",55,1.60581387
"24","2015-01-01","CONSULTOR LEGISLATIVO",4489,115.97823129
"25","2015-01-01","IPC ",4004,3.03610871
"26","2015-01-01","SECRETÁRIO PARLAMENTAR",77,1.45619389
"27","2015-01-01","TECNICO LEGISLATIVO",31001,655.080967
"28","2016-01-01","ADVOGADO",396,9.78336902
"29","2016-01-01","ANALISTA LEGISLATIVO",31474,804.86017581
"30","2016-01-01","AUXILIAR LEGISLATIVO",852,19.00528578
"31","2016-01-01","CARGO EM COMISSÃO",33753,231.80406765
"32","2016-01-01","CARGO ISOLADO",54,1.5237242
"33","2016-01-01","CONSULTOR LEGISLATIVO",4896,127.45898685
"34","2016-01-01","IPC ",4367,3.14165345
"35","2016-01-01","SECRETÁRIO PARLAMENTAR",84,1.62488551
"36","2016-01-01","TECNICO LEGISLATIVO",33822,734.77945044
"37","2017-01-01","ADVOGADO",198,5.42988194
"38","2017-01-01","ANALISTA LEGISLATIVO",15731,445.61875989
"39","2017-01-01","AUXILIAR LEGISLATIVO",426,10.3490952
"40","2017-01-01","CARGO EM COMISSÃO",19938,149.82333591
"41","2017-01-01","CARGO ISOLADO",24,0.69600902
"42","2017-01-01","CONSULTOR LEGISLATIVO",2448,70.52303389
"43","2017-01-01","IPC ",2184,1.67998189
"44","2017-01-01","SECRETÁRIO PARLAMENTAR",42,0.9190112
"45","2017-01-01","TECNICO LEGISLATIVO",16904,418.42303687
